Year,Street,Residence,Auto,Alley,Retail Establishment,Parking/Vacant Lot,Other
2001,227,171,112,46,32,37,23
2002,251,153,100,56,25,32,28
2003,217,148,106,38,50,14,19
2004,184,114,52,29,25,23,16
2005,212,110,54,28,18,20,11
2006,252,96,42,41,26,16,3
2007,205,121,52,30,18,11,10
2008,251,117,59,29,28,17,12
2009,229,103,55,32,18,14,9
2010,204,104,61,23,20,17,9
2011,226,89,52,20,23,10,17
2012,264,107,57,36,18,11,12
2013,225,95,32,20,17,19,13
2014,233,105,23,32,15,10,8
2015,286,97,55,25,10,10,16
2016,437,141,87,44,31,27,14
2017,363,127,82,49,23,15,12
